epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
5,16,136,1.8091,1.7437,0.6896,1.7306,0.6955
5,17,137,1.8011,1.7396,0.6889,1.7265,0.6949
5,18,138,1.805,1.7345,0.6898,1.7213,0.6954
5,19,139,1.8028,1.7296,0.6904,1.7164,0.6962
5,20,140,1.7893,1.7254,0.6904,1.7122,0.6959
5,21,141,1.7755,1.7219,0.6905,1.7087,0.696
5,22,142,1.7879,1.7167,0.6912,1.7035,0.6965
5,23,143,1.7862,1.7114,0.6912,1.6982,0.6968
5,24,144,1.7698,1.7067,0.691,1.6934,0.6967
5,25,145,1.788,1.6999,0.6913,1.6865,0.697
5,26,146,1.7763,1.6941,0.6923,1.6807,0.6976
5,27,147,1.7543,1.689,0.6928,1.6756,0.6985
5,28,148,1.7429,1.6849,0.6926,1.6715,0.6984
5,29,149,1.7596,1.6815,0.6926,1.668,0.6981
5,30,150,1.7408,1.6792,0.6933,1.6658,0.6983
6,1,151,1.7567,1.6722,0.6938,1.6588,0.6985
6,2,152,1.754,1.668,0.6939,1.6546,0.699
6,3,153,1.7503,1.6632,0.6944,1.6498,0.6997
6,4,154,1.7393,1.6588,0.6946,1.6454,0.6992
6,5,155,1.744,1.6531,0.6946,1.6397,0.6994
6,6,156,1.7357,1.6467,0.6946,1.6332,0.6993
6,7,157,1.727,1.6417,0.6939,1.6281,0.6994
6,8,158,1.7228,1.6376,0.694,1.624,0.6993
6,9,159,1.701,1.6347,0.6937,1.621,0.699
6,10,160,1.7092,1.6298,0.6941,1.6162,0.7002
6,11,161,1.7174,1.6249,0.6944,1.6113,0.7005
6,12,162,1.6981,1.6214,0.695,1.6078,0.7005
6,13,163,1.686,1.6164,0.6953,1.6028,0.7011
6,14,164,1.6692,1.6123,0.6964,1.5987,0.7015
6,15,165,1.6926,1.6067,0.6968,1.5931,0.7017
6,16,166,1.6822,1.6008,0.6976,1.5872,0.7018
6,17,167,1.6781,1.5968,0.6969,1.5829,0.7018
6,18,168,1.7035,1.5915,0.6971,1.5777,0.7024
6,19,169,1.667,1.5874,0.6975,1.5735,0.7025
6,20,170,1.6892,1.582,0.6982,1.5681,0.7033
6,21,171,1.6808,1.5787,0.6982,1.5648,0.7031
6,22,172,1.6636,1.5746,0.6984,1.5607,0.7037
6,23,173,1.6427,1.5716,0.6986,1.5577,0.7034
6,24,174,1.6329,1.5683,0.6986,1.5544,0.7038
6,25,175,1.6583,1.5634,0.6984,1.5494,0.7034
6,26,176,1.6406,1.5584,0.6984,1.5444,0.7035
6,27,177,1.6391,1.5552,0.6982,1.5413,0.7024
6,28,178,1.6305,1.5494,0.6989,1.5354,0.7035
6,29,179,1.6318,1.5439,0.6997,1.5298,0.7042
6,30,180,1.6415,1.5417,0.6998,1.5276,0.7043
7,1,181,1.6087,1.5375,0.7,1.5233,0.7054
7,2,182,1.6267,1.5332,0.7004,1.519,0.7055
