epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
7,8,188,0.6131,0.3709,0.9353,0.3643,0.9377
7,9,189,0.6048,0.3678,0.9356,0.361,0.9372
7,10,190,0.6262,0.3663,0.9365,0.3598,0.9382
7,11,191,0.6033,0.3638,0.9365,0.357,0.9383
7,12,192,0.5917,0.3603,0.9369,0.3542,0.9386
7,13,193,0.6081,0.3575,0.9362,0.3517,0.9379
7,14,194,0.6157,0.3551,0.9371,0.348,0.9398
7,15,195,0.6276,0.3524,0.9371,0.3457,0.9385
7,16,196,0.5868,0.3499,0.9377,0.3434,0.9389
7,17,197,0.6014,0.3471,0.9371,0.3404,0.9389
7,18,198,0.6194,0.3453,0.9376,0.3394,0.9393
7,19,199,0.6316,0.3419,0.9376,0.3356,0.9405
7,20,200,0.5892,0.3399,0.9382,0.3346,0.9399
7,21,201,0.609,0.3389,0.9385,0.3335,0.9397
7,22,202,0.5982,0.337,0.9386,0.3305,0.9406
7,23,203,0.5802,0.3345,0.9385,0.3278,0.9399
7,24,204,0.6122,0.3317,0.9383,0.3247,0.9397
7,25,205,0.5942,0.3295,0.9388,0.323,0.9413
7,26,206,0.5755,0.3294,0.9388,0.3226,0.9422
7,27,207,0.5622,0.3282,0.9396,0.3216,0.9414
7,28,208,0.5602,0.3264,0.9394,0.3203,0.942
7,29,209,0.5522,0.3245,0.9399,0.319,0.9418
7,30,210,0.6762,0.3225,0.9406,0.3169,0.9404
8,1,211,0.5888,0.3248,0.9392,0.3202,0.9414
8,2,212,0.6125,0.3205,0.9395,0.3157,0.9419
8,3,213,0.5234,0.3183,0.9398,0.3136,0.9414
8,4,214,0.5892,0.3168,0.9401,0.3115,0.9435
8,5,215,0.5744,0.317,0.9396,0.3112,0.9431
8,6,216,0.5539,0.3153,0.9397,0.3093,0.943
8,7,217,0.5488,0.3131,0.9405,0.3081,0.9432
8,8,218,0.5652,0.3106,0.9405,0.3055,0.9425
8,9,219,0.5896,0.3084,0.9401,0.3033,0.9424
8,10,220,0.5755,0.3054,0.9417,0.2997,0.9432
8,11,221,0.5636,0.3034,0.9419,0.2989,0.9426
8,12,222,0.5802,0.3018,0.9419,0.2964,0.9434
8,13,223,0.5708,0.3006,0.9421,0.2956,0.9436
8,14,224,0.5628,0.2978,0.9429,0.2933,0.943
8,15,225,0.5377,0.2973,0.9433,0.2943,0.9423
8,16,226,0.5603,0.2958,0.9434,0.2916,0.9444
8,17,227,0.5646,0.2938,0.9434,0.2894,0.9444
8,18,228,0.5348,0.2917,0.944,0.2879,0.9449
8,19,229,0.5582,0.291,0.9439,0.2867,0.9447
8,20,230,0.5325,0.2907,0.944,0.2865,0.9449
8,21,231,0.5344,0.2883,0.9441,0.2836,0.9454
8,22,232,0.5593,0.2879,0.9439,0.2836,0.9452
8,23,233,0.583,0.286,0.9439,0.2822,0.9451
8,24,234,0.5589,0.2849,0.9444,0.2815,0.945
8,25,235,0.5369,0.2849,0.9443,0.2816,0.9451
8,26,236,0.5755,0.2843,0.9446,0.2809,0.9453
8,27,237,0.5486,0.2845,0.9439,0.2804,0.9457
8,28,238,0.5383,0.2827,0.9445,0.2783,0.9456
8,29,239,0.5499,0.2808,0.9447,0.2769,0.9456
8,30,240,0.5686,0.2791,0.9454,0.2751,0.9455
9,1,241,0.5223,0.2818,0.9442,0.2772,0.9455
9,2,242,0.5255,0.2793,0.9443,0.2751,0.9455
9,3,243,0.5517,0.2781,0.9441,0.2732,0.946
9,4,244,0.5287,0.2767,0.9446,0.2725,0.947
9,5,245,0.5195,0.2749,0.9451,0.2712,0.947
9,6,246,0.54,0.2732,0.9456,0.2694,0.9478
9,7,247,0.533,0.2719,0.9455,0.2674,0.9476
9,8,248,0.5021,0.2701,0.9455,0.2656,0.9484
9,9,249,0.5233,0.268,0.9461,0.2637,0.948
9,10,250,0.5281,0.2671,0.9461,0.2629,0.9489
9,11,251,0.51,0.267,0.9462,0.2631,0.9462
9,12,252,0.5375,0.266,0.946,0.2626,0.9468
9,13,253,0.4978,0.2638,0.9463,0.261,0.9473
9,14,254,0.5317,0.2638,0.9459,0.261,0.9466
9,15,255,0.5406,0.2623,0.9466,0.2605,0.9471
9,16,256,0.5024,0.2602,0.947,0.257,0.9479
9,17,257,0.5052,0.2602,0.9468,0.2574,0.9476
9,18,258,0.5034,0.2585,0.9473,0.2554,0.9484
9,19,259,0.5023,0.259,0.947,0.2549,0.9484
9,20,260,0.5202,0.2573,0.9472,0.2535,0.9491
9,21,261,0.5187,0.2561,0.9476,0.2531,0.9492
9,22,262,0.516,0.2537,0.948,0.2517,0.9488
9,23,263,0.5131,0.252,0.9487,0.2495,0.9497
9,24,264,0.5199,0.2507,0.9488,0.2484,0.9492
9,25,265,0.5293,0.2492,0.9489,0.2469,0.9491
9,26,266,0.5217,0.2472,0.9487,0.246,0.9491
9,27,267,0.5405,0.2465,0.9485,0.2449,0.9479
9,28,268,0.5092,0.247,0.9483,0.245,0.9482
9,29,269,0.5245,0.2449,0.9482,0.2434,0.9489
9,30,270,0.5991,0.2433,0.9491,0.2421,0.9476
10,1,271,0.4862,0.2488,0.948,0.2482,0.9473
10,2,272,0.4865,0.2448,0.949,0.244,0.9486
10,3,273,0.5102,0.2421,0.9495,0.241,0.9487
10,4,274,0.4938,0.241,0.9492,0.2397,0.9477
10,5,275,0.4834,0.2409,0.9496,0.24,0.9492
10,6,276,0.4719,0.2394,0.9502,0.2391,0.9484
10,7,277,0.4842,0.2395,0.9499,0.2385,0.9503
10,8,278,0.4987,0.2383,0.9497,0.2375,0.9501
10,9,279,0.4885,0.2382,0.9497,0.2366,0.9502
10,10,280,0.5143,0.2367,0.9506,0.2364,0.95
10,11,281,0.495,0.2364,0.9504,0.2365,0.9499
10,12,282,0.5243,0.2352,0.9506,0.2356,0.9508
10,13,283,0.5173,0.2339,0.9504,0.2341,0.9501
10,14,284,0.5078,0.2336,0.95,0.2329,0.9502
10,15,285,0.4795,0.2326,0.9503,0.2324,0.95
10,16,286,0.4738,0.2308,0.9508,0.2305,0.9509
10,17,287,0.5021,0.2311,0.9506,0.2306,0.9502
10,18,288,0.4993,0.2303,0.9507,0.2301,0.9522
10,19,289,0.5017,0.2309,0.9512,0.2304,0.9514
10,20,290,0.527,0.229,0.9517,0.2291,0.9512
10,21,291,0.4992,0.2292,0.9515,0.2288,0.9523
10,22,292,0.459,0.2286,0.9516,0.2291,0.9518
10,23,293,0.4748,0.2276,0.9521,0.2282,0.9518
10,24,294,0.4568,0.2264,0.9517,0.2265,0.953
10,25,295,0.4929,0.2257,0.9519,0.2253,0.9529
10,26,296,0.4853,0.2255,0.9524,0.2258,0.952
10,27,297,0.4534,0.2246,0.9519,0.224,0.9525
10,28,298,0.4805,0.2245,0.9526,0.2238,0.9531
10,29,299,0.438,0.2226,0.9527,0.2224,0.9531
10,30,300,0.5175,0.2217,0.9523,0.2215,0.9536
