epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
6,17,167,0.7727,0.5548,0.9185,0.5422,0.9195
6,18,168,0.786,0.5511,0.9194,0.5386,0.9216
6,19,169,0.7589,0.5471,0.9199,0.5353,0.9206
6,20,170,0.8094,0.5427,0.9207,0.5304,0.9225
6,21,171,0.7725,0.5372,0.9206,0.5251,0.9229
6,22,172,0.7557,0.5341,0.9211,0.5218,0.9218
6,23,173,0.7443,0.5314,0.9211,0.5193,0.9227
6,24,174,0.7622,0.5286,0.9213,0.5158,0.923
6,25,175,0.7688,0.5252,0.9218,0.5126,0.9226
6,26,176,0.7668,0.5232,0.9215,0.5105,0.9221
6,27,177,0.7372,0.5207,0.9219,0.5086,0.922
6,28,178,0.7305,0.5171,0.9224,0.5054,0.9237
6,29,179,0.766,0.512,0.9226,0.4999,0.9249
6,30,180,0.7623,0.5112,0.9231,0.4997,0.9244
7,1,181,0.7162,0.5105,0.9228,0.4994,0.9239
7,2,182,0.7297,0.5056,0.9234,0.4939,0.9252
7,3,183,0.7582,0.5016,0.9242,0.4899,0.9263
7,4,184,0.7174,0.4974,0.9247,0.4865,0.926
7,5,185,0.7294,0.4932,0.9249,0.4824,0.9258
7,6,186,0.7475,0.49,0.9251,0.4787,0.9263
7,7,187,0.7586,0.4865,0.926,0.4757,0.9275
7,8,188,0.7185,0.4826,0.9264,0.472,0.9272
7,9,189,0.7313,0.4793,0.9263,0.4684,0.9278
7,10,190,0.7121,0.4754,0.927,0.4647,0.9285
7,11,191,0.7156,0.4726,0.9272,0.4612,0.9283
7,12,192,0.6927,0.4701,0.9274,0.4599,0.9287
7,13,193,0.6908,0.4668,0.9276,0.4568,0.9284
7,14,194,0.7007,0.464,0.9278,0.4531,0.9287
7,15,195,0.7376,0.4617,0.928,0.4509,0.9291
7,16,196,0.6844,0.4581,0.9281,0.4473,0.9299
7,17,197,0.7159,0.4549,0.928,0.4442,0.9291
7,18,198,0.7274,0.4501,0.9282,0.439,0.9295
7,19,199,0.6985,0.447,0.9289,0.436,0.9296
7,20,200,0.6826,0.4436,0.9291,0.4326,0.9303
7,21,201,0.6876,0.4415,0.9293,0.4308,0.9315
7,22,202,0.7169,0.4399,0.9292,0.4286,0.931
7,23,203,0.6735,0.4375,0.9298,0.4262,0.9309
7,24,204,0.6779,0.4359,0.9294,0.4249,0.931
7,25,205,0.6912,0.4333,0.9297,0.4223,0.9315
7,26,206,0.6655,0.4304,0.9301,0.4194,0.932
7,27,207,0.6552,0.4277,0.9303,0.4169,0.9318
7,28,208,0.6542,0.4247,0.9302,0.414,0.9318
7,29,209,0.6523,0.4235,0.9309,0.4126,0.9332
7,30,210,0.6785,0.4209,0.9309,0.4101,0.9335
