epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
6,12,162,1.716,1.6482,0.6431,1.6387,0.6504
6,13,163,1.7322,1.6447,0.6444,1.6352,0.6517
6,14,164,1.7218,1.642,0.6451,1.6325,0.6521
6,15,165,1.7201,1.6373,0.645,1.6279,0.652
6,16,166,1.7142,1.6327,0.645,1.6232,0.6516
6,17,167,1.7193,1.6293,0.6455,1.6196,0.6529
6,18,168,1.7114,1.6252,0.6465,1.6156,0.6537
6,19,169,1.7016,1.6218,0.6478,1.6121,0.6552
6,20,170,1.7301,1.6165,0.6479,1.6068,0.6552
6,21,171,1.7051,1.6124,0.6487,1.6026,0.6565
6,22,172,1.6886,1.6095,0.6503,1.5998,0.6577
6,23,173,1.6621,1.6065,0.6513,1.5967,0.6594
6,24,174,1.6877,1.6029,0.6517,1.5931,0.6591
6,25,175,1.7001,1.5981,0.6519,1.5881,0.6593
6,26,176,1.6755,1.5942,0.6531,1.5841,0.6603
6,27,177,1.6857,1.5908,0.6541,1.5806,0.6609
6,28,178,1.6741,1.5866,0.655,1.5765,0.6621
6,29,179,1.6862,1.5814,0.6552,1.5711,0.6628
6,30,180,1.6736,1.5785,0.6551,1.5683,0.6629
7,1,181,1.6369,1.5761,0.6566,1.5659,0.6642
7,2,182,1.6499,1.5723,0.6568,1.5621,0.664
7,3,183,1.6506,1.5687,0.6567,1.5584,0.6641
7,4,184,1.636,1.5651,0.6578,1.5549,0.6652
7,5,185,1.6557,1.5599,0.6579,1.5498,0.6657
7,6,186,1.6612,1.5565,0.6591,1.5463,0.6666
7,7,187,1.6475,1.5525,0.66,1.5424,0.6667
7,8,188,1.6473,1.5497,0.661,1.5396,0.6679
7,9,189,1.6506,1.5458,0.6612,1.5357,0.6681
7,10,190,1.6382,1.5419,0.6621,1.5317,0.669
7,11,191,1.6341,1.5387,0.663,1.5285,0.6698
7,12,192,1.6273,1.535,0.6643,1.5247,0.671
7,13,193,1.6137,1.5335,0.6651,1.5232,0.671
7,14,194,1.6328,1.5296,0.6664,1.5193,0.6718
7,15,195,1.6424,1.5242,0.6673,1.5138,0.6724
7,16,196,1.6171,1.5207,0.668,1.5103,0.6734
7,17,197,1.617,1.5175,0.6693,1.507,0.6744
7,18,198,1.621,1.5139,0.6697,1.5034,0.6751
7,19,199,1.5934,1.5108,0.6709,1.5004,0.6768
7,20,200,1.603,1.5084,0.6714,1.498,0.6769
7,21,201,1.5949,1.5051,0.6721,1.4945,0.678
7,22,202,1.6096,1.5013,0.6721,1.4907,0.6786
7,23,203,1.6103,1.4971,0.6735,1.4864,0.6803
7,24,204,1.6025,1.4927,0.6738,1.4819,0.6805
7,25,205,1.5899,1.4906,0.6746,1.4798,0.6809
7,26,206,1.5724,1.4874,0.6754,1.4767,0.6812
7,27,207,1.5794,1.4847,0.6756,1.4738,0.6816
7,28,208,1.5826,1.4798,0.6759,1.4688,0.6829
7,29,209,1.5973,1.4751,0.6757,1.4641,0.6826
7,30,210,1.5894,1.4723,0.6771,1.4613,0.6843
8,1,211,1.5849,1.4689,0.677,1.4579,0.6844
8,2,212,1.5896,1.4661,0.6787,1.455,0.6864
8,3,213,1.5547,1.4625,0.6796,1.4515,0.6869
8,4,214,1.5757,1.4596,0.6807,1.4486,0.6881
8,5,215,1.5552,1.4574,0.6817,1.4463,0.6893
8,6,216,1.5435,1.4545,0.6827,1.4434,0.6896
8,7,217,1.5519,1.4517,0.6834,1.4407,0.6898
8,8,218,1.5655,1.447,0.6833,1.436,0.6899
8,9,219,1.5831,1.4424,0.6836,1.4312,0.6894
8,10,220,1.5656,1.439,0.6845,1.4278,0.6903
8,11,221,1.5576,1.4362,0.6848,1.4251,0.6897
8,12,222,1.5384,1.4342,0.6856,1.4232,0.6904
8,13,223,1.5498,1.4317,0.6865,1.4207,0.6912
8,14,224,1.5373,1.4288,0.6869,1.4179,0.6913
8,15,225,1.5337,1.4253,0.6875,1.4144,0.6921
8,16,226,1.54,1.4212,0.6883,1.4104,0.6926
8,17,227,1.5327,1.4187,0.6894,1.4077,0.6939
8,18,228,1.513,1.4158,0.6905,1.4049,0.6956
8,19,229,1.5547,1.4122,0.691,1.4011,0.6952
8,20,230,1.5075,1.4098,0.6917,1.3987,0.6958
8,21,231,1.5117,1.408,0.6927,1.3968,0.6975
8,22,232,1.5394,1.4048,0.6928,1.3936,0.6978
8,23,233,1.5333,1.4006,0.6924,1.3892,0.6973
8,24,234,1.5203,1.3985,0.6929,1.3871,0.6981
8,25,235,1.5208,1.3961,0.6932,1.3847,0.6974
8,26,236,1.5172,1.3943,0.6936,1.3829,0.6986
8,27,237,1.5167,1.3908,0.6935,1.3794,0.6983
8,28,238,1.5019,1.3877,0.694,1.3763,0.699
8,29,239,1.5163,1.3845,0.6945,1.3731,0.7
8,30,240,1.5065,1.3813,0.6956,1.3699,0.7007
9,1,241,1.4962,1.3783,0.6952,1.3669,0.7003
9,2,242,1.487,1.3764,0.6955,1.365,0.7009
9,3,243,1.5076,1.3733,0.6958,1.362,0.701
9,4,244,1.4933,1.3714,0.6962,1.3601,0.7011
9,5,245,1.4803,1.3693,0.6964,1.3578,0.7015
9,6,246,1.4902,1.3665,0.6976,1.3553,0.7022
9,7,247,1.5135,1.3635,0.6982,1.3521,0.7019
9,8,248,1.4604,1.3622,0.6995,1.3507,0.7035
9,9,249,1.4665,1.3584,0.7005,1.3469,0.7048
9,10,250,1.5125,1.3548,0.7009,1.3432,0.7051
9,11,251,1.4735,1.3523,0.7014,1.3408,0.7053
9,12,252,1.4846,1.3492,0.702,1.3377,0.7059
9,13,253,1.4857,1.3458,0.7011,1.3342,0.7052
9,14,254,1.4742,1.3439,0.7016,1.3323,0.7056
9,15,255,1.457,1.3413,0.7018,1.3297,0.7058
9,16,256,1.4811,1.3389,0.7027,1.3272,0.7069
9,17,257,1.4672,1.3356,0.7023,1.3238,0.7066
9,18,258,1.4664,1.3334,0.7028,1.3216,0.7071
9,19,259,1.4891,1.3314,0.7035,1.3198,0.707
9,20,260,1.4765,1.3297,0.7045,1.3181,0.7082
9,21,261,1.4921,1.3272,0.7049,1.3157,0.7087
9,22,262,1.4574,1.3242,0.7054,1.3128,0.7098
9,23,263,1.4546,1.3229,0.7065,1.3114,0.7109
9,24,264,1.486,1.32,0.7069,1.3086,0.7115
9,25,265,1.4717,1.317,0.7062,1.3056,0.7111
9,26,266,1.4574,1.3136,0.7066,1.3022,0.7117
9,27,267,1.4629,1.3119,0.7075,1.3004,0.7123
