,gradient_norm_on_full_trainset
362,0.12216475567674565
363,0.12193402134625612
364,0.1217045996745306
365,0.12147759246844361
366,0.12124716631883889
367,0.12102293477858002
368,0.12079530031734953
369,0.12057131531087432
370,0.12034053466022905
371,0.12011826688616778
372,0.11988932800462737
373,0.11966813551097337
374,0.11944432660094295
375,0.119220290544065
376,0.11900096687002784
377,0.118780574302133
378,0.11856549081145706
379,0.11834164799088472
380,0.1181242540975084
381,0.11790903097700718
382,0.11769236116744511
383,0.11746875554779493
384,0.11725698093088106
385,0.117040989704464
386,0.11682532775073404
387,0.1166065306835266
388,0.11639449286387585
389,0.11618147721719055
390,0.11596574743049708
391,0.11575833548303135
392,0.11554646002305632
393,0.1153319524759245
394,0.11512293495692716
395,0.11491295159410475
396,0.11470228795240363
397,0.11449451355926374
398,0.1142870896262379
399,0.11407993753423522
400,0.1138757271552772
401,0.11366708284717555
402,0.11346535073334667
403,0.11325727222533413
404,0.11305768937722664
405,0.11285434811573161
406,0.11265036112805855
407,0.11244987639936158
408,0.11224707168657042
409,0.1120399629491918
410,0.11184616580015119
411,0.11164551187119368
412,0.11144494880015712
413,0.11123926117346905
414,0.11104711084113601
415,0.11084855471118382
416,0.11065091117005485
417,0.11045219492007519
418,0.11025998410494575
419,0.11006310370812045
420,0.1098682248592111
421,0.10967397931315445
422,0.10948531635350356
423,0.10928897746884321
424,0.10909337222187114
425,0.10890330505414898
426,0.10870791798553162
427,0.10851870431062031
428,0.10832350228280654
429,0.10813489204852392
430,0.10794090234856721
431,0.10774881818143953
432,0.10756096313109995
433,0.10737223719809294
434,0.10718508340555559
435,0.10699634253476686
436,0.10681206431552104
437,0.10662536894464507
438,0.10643777437826896
439,0.10625137178630943
440,0.10606286958971649
441,0.10587886389658085
442,0.10569506661709853
443,0.10551006293178486
444,0.10533330146646333
445,0.10514982757370495
446,0.10496661728553958
447,0.104784820224102
448,0.10460862161896574
449,0.10442774342459742
450,0.10424954829931299
451,0.1040666936352034
452,0.10388941583660342
453,0.10371264378019521
454,0.10353530970087735
455,0.10335320702404253
456,0.10317509273757948
457,0.10299263097999896
458,0.10282083505564825
459,0.10264006591955899
460,0.10246596319180216
461,0.10229418525939178
462,0.10211277289769286
463,0.10194148844562716
464,0.101768928039596
465,0.10159621076240748
466,0.10142244494715073
467,0.10125104081662566
468,0.101075364920579
469,0.10090635384931967
470,0.10073176113065987
471,0.10055983737934707
472,0.10039099338490669
473,0.10022119949316714
474,0.10005184272559704
475,0.09988305111487872
476,0.09971685895381362
477,0.09954578032622899
478,0.09937817562894766
479,0.09921006188881687
480,0.09904483984763893
481,0.09887405664617496
482,0.09870690640752541
483,0.09854018423572276
484,0.09837479386955497
485,0.09821188830978313
486,0.09804666482553029
487,0.0978835819771936
488,0.09771933054747228
489,0.0975578898168333
490,0.09739700640528999
491,0.0972321810755524
492,0.0970685847024331
493,0.0969082690619287
494,0.09674921433035348
495,0.0965854415538954
496,0.09642771269453973
497,0.09626620553738403
498,0.09610599115287413
499,0.095949311080723
500,0.0957926645145665
501,0.09563291650361581
502,0.09547629403345598
503,0.09531677974679267
504,0.09516275140495031
505,0.09500568403553353
506,0.09484810646651161
507,0.09469385527947573
508,0.09453651464133217
509,0.0943817521256578
510,0.09422549192586034
511,0.09406790292261422
512,0.09391893664087783
513,0.09376608631913214
514,0.09361429068686677
515,0.0934620866021033
516,0.09331079379939614
517,0.09315880061650048
518,0.09300995844893165
519,0.09285885830081303
520,0.09270868500899627
521,0.09255487275615998
522,0.09240538112649513
523,0.09226043204814093
524,0.09210672736837372
525,0.09195795118079822
526,0.09180709604433047
527,0.09165527480639604
528,0.09151123746160861
529,0.09136642366269755
530,0.09121689566432069
531,0.09107433655709882
532,0.09092862592757893
533,0.09078233377799594
534,0.09063582194601341
535,0.09049225662788946
536,0.0903466283384847
537,0.09019999776367518
538,0.09005510241903827
539,0.08991279586135963
540,0.08976591866814758
541,0.08962545261474078
542,0.08948081173182265
543,0.08934126570268887
544,0.08919917179393885
545,0.0890530888908039
546,0.08891298977572001
547,0.08877135227746291
548,0.08862631704372666
549,0.08848756018445214
