,gradient_norm_on_full_trainset
237,0.1568957857166675
238,0.1565989944445832
239,0.15614254554553092
240,0.1558662162338001
241,0.15558877580142483
242,0.1552320974135421
243,0.1549233306107395
244,0.1545399032331774
245,0.15425375176857353
246,0.15388170865201203
247,0.1535975462767349
248,0.1532956579215081
249,0.15289713971302268
250,0.1525970709125221
251,0.15225746753690364
252,0.15190792378349086
253,0.15165164807613982
254,0.15133214076323023
255,0.1509896641608017
256,0.1506424473722716
257,0.15034662901231122
258,0.15005427702363736
259,0.14970755790964335
260,0.14942468290193306
261,0.14912347301066617
262,0.14875691338316854
263,0.14843826496309423
264,0.14818622324759673
265,0.1478947915506525
266,0.1475074055959807
267,0.14721663075248695
268,0.14695379887240873
269,0.14657414075369357
270,0.14635097779790346
271,0.14603140923429642
272,0.14568769884508126
273,0.14542260720352668
274,0.1449909794474555
275,0.14484734853150966
276,0.14453081441357524
277,0.14423049783482672
278,0.14396419194402446
279,0.143630664283498
280,0.1432894596685048
281,0.14299754128564107
282,0.1427975082445725
283,0.14245321765152005
284,0.14210898411236422
285,0.14189874526912544
286,0.1415811034268889
287,0.14127389987923974
288,0.14100914329637027
289,0.14066847599102453
290,0.14039778302791392
291,0.14014471600376352
292,0.13991208575121494
293,0.1395549214060836
294,0.13926649840567987
295,0.13901065820435346
296,0.13870429185320732
297,0.13846188202283133
298,0.13813975481381838
299,0.1378513159033105
300,0.13763230825150613
301,0.13733246366025062
302,0.13700653764901732
303,0.1368240070690524
304,0.1364524555630012
305,0.13625921630258053
306,0.13592317493536263
307,0.13575265799880493
308,0.13539042815356628
309,0.13511503435799924
310,0.13490734654990325
311,0.13462585365375657
312,0.13433934551159127
313,0.13403968868369104
314,0.1338198303403005
315,0.1335444393779806
316,0.13329951605209636
317,0.13301260660691988
318,0.13281703768174924
319,0.13245025448700468
320,0.13223602843803112
321,0.1319647588766451
322,0.13170973515925266
323,0.13146279101896213
324,0.13118241644122014
325,0.13091476617556635
326,0.13073722791310322
327,0.13039436771946883
328,0.1301827907755872
329,0.1298952741085951
330,0.12964687405029823
331,0.12934329592808502
332,0.12919590353494886
333,0.12894528591491206
334,0.1286459044719654
335,0.12837851582314774
336,0.1281532941218791
337,0.12793619077880938
338,0.1276871349449025
339,0.12739578215192046
340,0.12715926107118375
341,0.1269718276007255
342,0.12665698540473566
343,0.12646552618007426
344,0.12614306485008064
345,0.12596640235389014
346,0.12571606445652111
347,0.12549085800885346
348,0.12530673379567928
349,0.12495716317810239
350,0.12472007540157926
351,0.12453385544993707
352,0.12425388703940514
353,0.12407781640458167
354,0.12380596121187273
355,0.12358488468199429
356,0.12334430739279914
357,0.12306782719955023
358,0.12286408696057696
359,0.12266222673090368
360,0.12242091809049178
361,0.12225364568094274
